source_id,ra,dec,catalogs,distance_kpc,V_total,V_GSR,v_esc,v_ratio,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound,ruwe,parallax_over_error,radial_velocity
1478837543019912064,212.47770607720577,33.71292924259555,li2021,6.890260760908347,826.4219743900164,580.6451067159962,522.3973817963249,1.1115007979545757,585.7627030969628,66.62663889428329,0.919,0.847,1.1032853,11.405543418012341,-246.30547
3696393857329932672,187.53484833323844,-0.45696210619300287,liao2024,8.09601646852616,894.6743761523699,659.7311883233517,518.0168941779133,1.273570796123044,698.0887531726084,205.69342958975716,0.876,0.837,0.9931469,5.292535929604107,156.0394
1477675943342041472,213.4841222197292,31.89236692281783,liao2024,9.0164211190378,817.2507362869105,613.0636613347373,528.8236263476664,1.1592970336232455,631.6998939845081,116.44708253000411,0.905,0.834,0.9524191,7.803543461462472,67.98254
4467979165785261824,269.1615223683136,1.4968104728273453,liao2024,7.527046312441427,874.3826063355775,689.8317054851304,580.9831113280131,1.1873524239083488,717.583297316961,159.41182666333995,0.954,0.833,1.0678455,5.998287422583045,75.96416
2102486723049371520,288.3731726998378,42.08282526070932,"li2021,liao2024",8.20627531345308,625.3979434013679,551.412802759767,495.76681299802704,1.1122422645139045,560.1387208084166,66.01448797933023,0.832,0.831,1.032962,8.701879493361954,-331.90518
4607259251473019776,266.74830474304196,33.388345798673,liao2024,14.39327861801239,773.824042421641,592.5325415472399,482.99969535068857,1.2267762221196092,619.2146102590934,160.61426254994893,0.809,0.821,0.9318479,5.408089117085915,-339.2672
802937337058585344,151.19904938946507,38.481217063249645,liao2024,7.591094602229177,779.8124815402836,558.7214133447782,470.38791229754366,1.1877886287846597,576.9319207831369,117.51409967857701,0.72,0.816,0.9775827,6.590839500005706,-209.78604
6685230812291703296,298.49672050549583,-43.3833427567302,liao2024,3.8192563547385543,811.9571308738062,599.9982160109411,560.5857418957029,1.0703058803849685,603.2581910220362,53.11133117237807,0.981,0.814,0.9730689,14.92819883390504,50.81617
2148005748521592704,278.9082671082449,56.225317591377674,"li2021,liao2024",8.205818812277503,707.5905498056386,540.5908347194,486.69178313405087,1.1107457603624749,551.6497825989616,67.12675217583255,0.761,0.807,0.89968216,7.957136797838929,-436.74716
1400950785006036224,233.9278564243463,46.56878510250967,"li2021,liao2024",6.873623018381404,706.499956531148,551.6315388296982,511.57477031910776,1.0783009069927434,554.1979652792162,48.20481843079624,0.882,0.805,1.012605,13.802000956748046,47.872852
2640494010375897600,353.8634245606521,-2.092893108122594,liao2024,3.714024836218939,661.100345122483,538.2876633308913,511.2679381681032,1.0528484638790396,545.3839482437487,39.6411889521171,0.879,0.8,1.0371087,14.992816056859334,-212.32248
4565070577998452096,254.61474874573278,21.547685878842067,li2021,9.637704905319284,663.0412054293108,618.9512773824889,544.3888603502882,1.1369653614591295,635.3156522773286,103.33353983932143,0.953,0.797,1.0906546,6.568416878087363,-78.61949
1569119954603029248,190.650308945645,52.56216872466253,"li2021,liao2024",8.475185225915592,736.4195720239192,536.4890507537655,485.9652126476672,1.1039659563918804,548.3778853862269,79.01341761994685,0.72,0.783,1.0551279,9.495970794830315,103.02488
4299472892793845376,302.92717686367655,9.634219243248749,liao2024,10.372319665088568,793.5908530681659,601.2325987070207,512.2621964606902,1.1736813742279688,622.0282299279438,128.96763116959383,0.847,0.782,1.2345698,6.57354425886292,-259.89584
1298337316156102144,246.85428744356372,21.96145665304746,"li2021,liao2024",7.213155863411866,790.9012707147543,620.7963230329897,553.2403681846702,1.1221095905745069,627.6528895373999,104.81152401455155,0.921,0.762,0.9570753,7.934745741805911,51.899582
