source_id,ra,dec,catalogs,distance_kpc,V_total,V_GSR,v_esc,v_ratio,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound,ruwe,parallax_over_error,radial_velocity,sample_final_strict,lamost_teff,lamost_logg,lamost_feh,lamost_rv,lamost_rv_err,delta_rv,rv_outlier,lamost_n_matches,lamost_designation
1850497933774341504,323.33682137778607,30.624468230238524,liao2024,9.369798524574929,554.6917289050166,579.1697849495744,482.44406202827867,1.2004910631807633,597.0067196572461,108.27421075732676,0.834,0.865,0.99468654,5.623840502482229,-93.06237,True,5594.82,3.13,-1.118,-102.2,5.64,-9.137629699707034,False,1.0,J213320.83+303728.0
4565639369106691584,251.90563318818403,21.62618335378544,liao2024,15.01427721584928,869.6558000956879,659.4280388166167,513.4032618620604,1.284425105568943,691.6912131640166,165.1511750569061,0.92,0.862,0.99697876,5.488760604944684,-286.77026,True,4357.08,0.905,-1.229,-301.45,4.73,-14.679736328124989,False,1.0,J164737.35+213734.4
4284233897849498496,278.27642072987624,4.648037684234432,liao2024,9.165307619391667,888.7613815160904,679.0445613885771,552.1874763390042,1.2297355345518406,694.4211881267352,132.92543763491054,0.971,0.859,1.1242216,6.482910309267155,-279.13144,True,4250.17,0.44,-1.907,-283.74,2.59,-4.608560791015634,False,1.0,J183306.35+043853.1
3696393857329932672,187.53484833323844,-0.4569621061930028,liao2024,8.09601646852616,894.6743761523699,659.7311883233517,518.0168941779133,1.273570796123044,698.0887531726084,205.6934295897572,0.876,0.837,0.9931469,5.292535929604107,156.0394,True,6522.65,4.287,-1.067,136.73,9.85,-19.309398193359385,False,1.0,J123008.36-002724.7
1477675943342041472,213.4841222197292,31.89236692281783,liao2024,9.0164211190378,817.2507362869105,613.0636613347373,528.8236263476664,1.1592970336232455,631.6998939845081,116.44708253000412,0.905,0.834,0.9524191,7.803543461462472,67.98254,True,4798.73,1.671,-1.659,63.14,4.4,-4.842536315917968,False,1.0,J141356.21+315332.6
4467979165785261824,269.1615223683136,1.4968104728273453,liao2024,7.527046312441427,874.3826063355775,689.8317054851304,580.9831113280131,1.1873524239083488,717.583297316961,159.41182666333995,0.954,0.833,1.0678455,5.998287422583045,75.96416,True,4927.17,2.264,-1.372,66.57,4.43,-9.394157104492194,False,1.0,J175638.76+012948.7
4607259251473019776,266.748304743042,33.388345798673,liao2024,14.39327861801239,773.824042421641,592.5325415472399,482.99969535068857,1.2267762221196092,619.2146102590934,160.61426254994893,0.809,0.821,0.9318479,5.408089117085915,-339.2672,True,4445.55,0.946,-1.701,-347.15,4.66,-7.882788085937477,False,1.0,J174659.59+332318.1
802937337058585344,151.19904938946507,38.481217063249645,liao2024,7.591094602229177,779.8124815402836,558.7214133447782,470.38791229754366,1.1877886287846595,576.9319207831369,117.514099678577,0.72,0.816,0.9775827,6.590839500005706,-209.78604,True,6198.41,4.063,-0.949,-219.06,3.92,-9.273958740234377,False,3.0,J100447.77+382852.5
2148005748521592704,278.9082671082449,56.22531759137768,"li2021,liao2024",8.205818812277503,707.5905498056386,540.5908347194,486.69178313405087,1.1107457603624749,551.6497825989616,67.12675217583255,0.761,0.807,0.89968216,7.957136797838929,-436.74716,True,4970.51,2.475,-1.161,-441.54,3.95,-4.7928381347656455,False,1.0,J183537.99+561331.1
1400950785006036224,233.9278564243463,46.56878510250967,"li2021,liao2024",6.873623018381404,706.499956531148,551.6315388296982,511.57477031910776,1.0783009069927434,554.1979652792162,48.20481843079624,0.882,0.805,1.012605,13.802000956748046,47.872852,True,4656.64,1.567,-1.321,42.85,5.01,-5.022852325439452,False,1.0,J153542.71+463407.7
4565070577998452096,254.6147487457328,21.547685878842067,li2021,9.637704905319284,663.0412054293108,618.9512773824889,544.3888603502882,1.1369653614591295,635.3156522773286,103.33353983932145,0.953,0.797,1.0906546,6.568416878087363,-78.61949,True,6554.95,4.331,-1.411,-65.2,4.12,13.419491577148435,False,2.0,J165827.53+213251.8
