source_id,catalogs,ra,dec,radial_velocity,lamost_rv,delta_rv,V_GSR_gaia_rv,P_unbound_gaia_rv,V_GSR_lamost_rv,P_unbound_lamost_rv,V_GSR_delta,P_unbound_delta
4552754742098901504,li2021,268.29771521199314,20.538726057798378,-130.99971,-130.15,0.8497100830078068,388.6251835872404,0.0,388.72121142985526,0.0,0.0960278426148875,0.0
1188320526276861184,li2021,223.31125412775586,17.439040559415158,3.3421786,2.93,-0.41217858314514144,329.55597189868365,0.0,329.4832444092748,0.0,-0.07272748940886231,0.0
1246482080046432256,"li2021,liao2024",209.46087669871017,19.011051006452988,223.73976,217.34,-6.399761352539059,404.49077131716865,0.0,400.6364415118458,0.0,-3.854329805322834,0.0
1340129650048148736,li2021,258.05982237503724,36.87932018283326,-222.53268,-232.76,-10.227315673828116,332.45853168749466,0.0,333.76275197789613,0.0,1.3042202904014744,0.0
1589483528424371200,"li2021,liao2024",229.35975845825843,50.28850844440341,-279.9112,-289.17,-9.258806152343766,362.50545900912334,0.01,365.9038010795037,0.01,3.3983420703803517,0.0
2090923674657279104,li2021,279.5847791693979,32.36217604422355,-299.08258,-306.49,-7.407419433593759,334.807763646526,0.0,336.7567410539062,0.0,1.9489774073801982,0.0
1375413287421022720,li2021,233.30727845701514,36.778807316367846,-208.65799,-215.45,-6.792010498046864,330.3713195845871,0.0,332.01034144616,0.0,1.6390218615728713,0.0
3938269613528220672,li2021,197.07608682292408,18.54046094208171,10.351979,1.24,-9.11197925567627,304.4876889396526,0.0,304.66533891464843,0.0,0.17764997499580204,0.0
4402540322507190016,li2021,236.7376140050892,-3.2243232872414866,158.66968,149.76,-8.909677734375009,394.8651094372168,0.0,390.70083039872037,0.0,-4.164279038496431,0.0
4453413316772077952,li2021,243.5131571547692,10.232067696127434,-312.9801,-322.71,-9.72989746093748,330.82693704040736,0.0,337.47196662774695,0.0,6.645029587339593,0.0
1191345695083956608,li2021,239.89995811136822,12.772986978281322,185.70692,157.33,-28.37692443847655,439.5834566403091,0.0,422.54854164867584,0.0,-17.034914991633286,0.0
1392488565561508736,li2021,228.47795846612206,41.65018437263305,-267.20496,-270.81,-3.6050439453125023,269.8749928183024,0.0,271.69867160381426,0.0,1.823678785511845,0.0
3939346894405032576,"li2021,liao2024",200.01264742181644,19.69498185120992,377.343,366.23,-11.112987060546857,476.13267631209584,0.0,467.3860064391671,0.0,-8.746669872928749,0.0
3914622279510527616,"li2021,liao2024",173.17098030925905,9.796763653329235,222.16925,210.56,-11.609250488281248,416.046102766868,0.0,412.64426540404713,0.0,-3.4018373628208565,0.0
3699461804008527232,li2021,182.5149416067271,0.9874905136973641,218.08176,208.38,-9.70175659179688,344.993185127402,0.0,341.9436983520348,0.0,-3.0494867753671997,0.0
3687816326602695040,"li2021,liao2024",197.8901323100496,0.38828033827580155,151.12695,142.9,-8.226953124999994,430.94978668120194,0.0,429.4702240104216,0.002,-1.4795626707803535,0.002
4567682192993492608,li2021,260.78426091683605,22.658224440450223,-343.91354,-338.4,5.513543701171898,393.75218274219816,0.0,391.2635468898869,0.0,-2.4886358523112335,0.0
3960007851762445696,"li2021,liao2024",187.4195629607277,24.505898691941105,244.79881,236.06,-8.738812866210935,477.07348334687,0.32,472.89681730060664,0.301,-4.176666046263335,-0.019000000000000017
1310191185375174272,"li2021,liao2024",257.0594842178045,31.628127576416336,-302.02606,-301.84,0.186062011718775,456.7406315653305,0.027,456.68866547391843,0.028,-0.05196609141205499,0.0010000000000000009
1162871264500396928,"li2021,liao2024",230.91166896314033,7.248223462001396,-209.60258,-215.66,-6.057415161132809,406.77975014887426,0.0,409.26005433187413,0.0,2.4803041829998733,0.0
1278823046346776192,li2021,229.87147403666424,34.23309647001373,35.55439,35.14,-0.4143899536132807,306.05223423845456,0.0,305.84428773835464,0.0,-0.2079465000999221,0.0
4386050328146789504,li2021,253.13626220130672,3.079069499840767,-20.469189,-38.58,-18.11081130981445,355.47285465933885,0.0,352.20570504478854,0.0,-3.2671496145503056,0.0
1313540057274791808,li2021,255.6079695223368,32.57762030262874,-123.11924,-136.19,-13.070760192871091,320.510205718858,0.0,318.7330164628647,0.0,-1.777189255993278,0.0
4451839606395241216,li2021,244.65641888676154,7.621069876724233,71.75213,66.78,-4.972128601074218,346.5994429751744,0.0,344.37941082338887,0.0,-2.2200321517855173,0.0
4442041892639187840,li2021,250.74028108870831,7.204620851808831,-159.07616,-170.69,-11.61384338378906,392.1569671114188,0.0,394.082133846202,0.001,1.925166734783204,0.001
1263658066580590848,li2021,227.3433045855683,23.60534427260268,-97.87158,-106.86,-8.98841796875,370.76140481816316,0.0,371.207839605926,0.0,0.44643478776282564,0.0
1201687392216167424,li2021,242.19142995646285,19.197038166931083,21.491804,18.42,-3.071804122924803,352.9562164390668,0.0,351.8126545368143,0.0,-1.143561902252486,0.0
1196253502675947008,li2021,236.17526578459598,16.61767797485923,-20.20549,-32.64,-12.434509887695313,361.3290024602744,0.0,359.1994951717087,0.0,-2.129507288565719,0.0
1305842238930165120,li2021,246.6640855855852,28.543129349952974,-267.44553,-272.86,-5.414473876953139,357.6526520428314,0.0,359.5392512129443,0.0,1.886599170112902,0.0
2796519662454821888,li2021,8.139566977908846,20.944522998662066,-139.30269,-147.04,-7.7373114013671795,337.7932410716306,0.0,337.55060957637727,0.0,-0.24263149525330618,0.0
2093319922812118272,li2021,283.14142419802573,36.152447711076356,-10.9880905,-13.29,-2.3019094848632804,294.83494803722124,0.0,293.17992291940436,0.0,-1.6550251178168764,0.0
6338338634642496128,li2021,221.89258088146957,-4.16190139537798,276.1258,292.81,16.684206542968752,394.76466569501713,0.0,405.93696621940484,0.0,11.172300524387708,0.0
2853512332285518592,li2021,0.14834001156913762,26.663646299254673,-399.9054,-411.6,-11.694604492187523,295.14099566416303,0.0,303.85430954924425,0.0,8.71331388508122,0.0
4033245977691021696,li2021,180.50651433259412,37.689110318265094,-136.64543,-140.95,-4.304568481445301,283.89610360491343,0.0,285.67240987121625,0.0,1.7763062663028109,0.0
3911135384541380992,li2021,173.99100270620008,8.256869370870907,116.856094,112.8,-4.056094360351565,322.45633002099896,0.0,322.2540108316302,0.0,-0.20231918936877946,0.0
4551368635893771008,li2021,267.3068256110334,18.87964838815939,-486.92206,-490.52,-3.597941894531232,388.7027500983958,0.0,391.65291348240703,0.0,2.950163384011205,0.0
4463303217704933376,li2021,244.93197485400353,13.315483464415351,-108.878204,-94.61,14.268204345703126,396.9505363147474,0.0,396.969412105918,0.0,0.018875791170614775,0.0
1298328687565047040,li2021,246.56081529871085,21.760620827377245,-264.8027,-283.01,-18.207296142578116,295.3846332571351,0.0,304.1881487564609,0.0,8.80351549932584,0.0
18591405891430144,"li2021,liao2024",40.89969964459254,6.272696714334008,-42.9423,-50.83,-7.887701110839842,368.88604753915513,0.001,369.3350426509562,0.001,0.4489951118010822,0.0
3897377367341812224,li2021,176.72970374713265,5.174723578261017,272.4046,266.02,-6.384602050781268,332.95446501847925,0.0,329.76824012853257,0.0,-3.1862248899466863,0.0
1352078558303082368,li2021,254.60666514830996,39.01614380177247,-245.39691,-253.29,-7.893088378906242,342.1127140596013,0.0,343.6685485124147,0.0,1.5558344528134285,0.0
