source_id,catalogs,ra,dec,distance_pc,distance_source,U,V,W,V_total,V_GSR,v_esc,v_over_vesc,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound_final,ruwe,parallax_over_error,radial_velocity,lamost_rv,lamost_teff,lamost_logg,lamost_feh,lamost_designation
1480182073940289024,liao2024,219.16949770353318,35.62872942987709,7016.02197265625,bailer_jones_geo,-79.75563272622047,-735.8342359318339,-30.776707812821385,740.7834970251032,495.3072851363149,523.7532297573911,0.9456882688164946,500.2220281107585,50.14817973452222,0.485,0.288,0.9623561,8.42333217915759,-303.29297,-304.71,5667.21,3.54,-1.778,J143640.70+353743.6
4429980078286167424,liao2024,237.5303150246977,6.900228779451304,5965.9306640625,bailer_jones_geo,195.60728764043944,-725.8761311209191,-14.118303895088378,751.9027165890528,523.614145714625,574.7650123266072,0.9110056013936422,527.3221443217789,63.78370462292124,0.651,0.204,1.0581794,7.936328412986718,-16.625776,-25.08,4987.77,2.365,-1.668,J155007.28+065401.1
3696393857329932672,liao2024,187.53484833323844,-0.45696210619300287,5663.02392578125,bailer_jones_geo,11.416758790557095,-621.3962846623031,-133.44980220121633,635.6669998363448,396.9859596469643,518.4406996455141,0.7657306996121351,413.4012642303524,129.58001711176723,0.229,0.202,0.9931469,5.292535929604107,156.0394,136.73,6522.65,4.287,-1.067,J123008.36-002724.7
2125719266307162240,liao2024,292.24698895558475,42.185178856804534,15750.23828125,bailer_jones_geo,290.54068019810296,-434.9772625056937,121.58845615610896,537.031524602932,380.35822303605124,451.809648831442,0.841855024610049,384.4145003186212,61.40153348989917,0.045,0.169,1.0448836,5.15421001278684,-311.86725,-315.92,4147.95,1.173,-0.726,J192859.28+421106.6
1850497933774341504,liao2024,323.33682137778607,30.624468230238524,6904.744140625,bailer_jones_geo,-403.80243042554815,-48.90731653139995,-74.795845936876,413.5731458850962,442.713521631459,495.92616698923547,0.8927004685378267,444.52802720656047,46.185237359081,0.123,0.153,0.99468654,5.623840502482229,-93.06237,-102.2,5594.82,3.13,-1.118,J213320.83+303728.0
4467979165785261824,liao2024,269.1615223683136,1.4968104728273453,5750.572265625,bailer_jones_geo,374.01325496644074,-554.6947066288637,32.83232675823657,669.8134771210808,496.8679747826082,574.3581299754645,0.865083906453685,498.10048652714505,68.32677246079389,0.445,0.134,1.0678455,5.998287422583045,75.96416,66.57,4927.17,2.264,-1.372,J175638.76+012948.7
802937337058585344,liao2024,151.19904938946507,38.481217063249645,5751.87744140625,bailer_jones_geo,204.68391355821782,-553.8132438047394,-138.8197191717244,606.5274337686236,399.3647740497716,478.7575912422035,0.8341690687630955,404.7167405572803,56.83387477689558,0.058,0.117,0.9775827,6.590839500005706,-209.78604,-219.06,6198.41,4.063,-0.949,J100447.77+382852.5
125510837155597696,liao2024,49.16564888762231,33.79753170741399,2685.7314453125,bailer_jones_geo,170.1775089474864,-505.50715867716025,-310.28359421259927,617.0687002781104,438.80563639925316,487.78452339420596,0.8995890918101758,440.4143839508341,37.840928987327786,0.061,0.115,1.1645828,12.234764992823903,-242.48854,-261.52,5161.63,2.393,-2.146,J031639.75+334751.8
1298337316156102144,"li2021,liao2024",246.85428744356372,21.96145665304746,5730.95361328125,bailer_jones_geo,68.42978140768467,-496.3927042339274,380.4852675081844,629.1719880850939,469.34366702963916,548.199127889029,0.8561554427073944,471.9415020347517,57.13187792601757,0.297,0.097,0.9570753,7.934745741805911,51.899582,46.89,5461.14,2.863,-1.133,J162725.03+215741.3
4547925480869924096,liao2024,256.7448857754349,17.373980126571052,9132.703125,bailer_jones_geo,162.80287788386997,-626.5588850728165,-145.459771674317,663.5053569388159,441.5210056894575,553.5775243527438,0.7975775501465572,446.7729659609329,66.09354345471861,0.209,0.093,0.98335165,5.068170691773614,-294.58057,-310.47,4569.65,1.33,-1.402,J170658.78+172226.5
