source_id,v_grf_bj,v_grf_mc_mean_bj,v_grf_mc_std_bj,P_v500_bj,P_unbound_bj,v_esc,catalogs,distance_kpc_bj,distance_kpc_invplx,v_grf_invplx,v_grf_mc_mean_invplx,v_grf_mc_std_invplx,P_v500_invplx,P_unbound_invplx,delta_P_unbound,distance_ratio_bj_over_invplx
1428780386377656448,336.235974194071,337.70462419716534,18.44584681257702,0.0,0.0,509.2672430374884,li2021,4.5160546875,5.173579190647776,377.65776869291744,380.07146604775176,24.717185587963847,0.0,0.0,0.0,0.8729072313541897
896734887315190272,301.28121296268114,302.4267172160205,11.61088655899149,0.0,0.0,471.4028399617547,li2021,4.6388837890625,5.826825991474197,349.334769054393,354.0040612365171,27.94112562334613,0.0,0.004,-0.004,0.7961253340755511
1279002644699609856,373.19630871438534,377.47733827714586,49.574771101311505,0.009,0.006,526.5040961698082,"li2021,liao2024",5.51898974609375,6.957633617315361,499.73375031748213,514.7445579429651,95.8136226352272,0.518,0.391,-0.385,0.7932279923965414
1197781136644152576,411.6487348981163,412.4412298969852,16.785919379098633,0.0,0.0,534.4224138751447,"li2021,liao2024",3.284845703125,3.7441385725087706,466.70434487333443,468.87701103176494,25.231072908890074,0.11,0.006,-0.006,0.877330162735932
3855198520751976832,311.0109342016408,311.3883507874679,27.03554648828344,0.0,0.0,497.8550471186424,li2021,3.560932861328125,4.2059450336584145,387.121132991493,389.1097692728049,39.715066627972064,0.011,0.015,-0.015,0.846642748022495
1372772466649676544,367.0550054137623,368.9932275606919,34.10786181849989,0.001,0.0,529.0133795740389,li2021,6.97800927734375,8.894270241848538,493.00087445826637,502.6835399772804,74.5273270526712,0.473,0.325,-0.325,0.7845510747482615
3648546993938943616,329.45899542099056,333.6556569993001,33.880232530440125,0.0,0.0,542.0421437494205,li2021,3.527116943359375,4.158662570514409,393.2148621276994,397.6320192839525,44.12084890101088,0.026,0.004,-0.004,0.8481373238519532
1505326015081603584,360.10154679144404,360.0917498443037,16.934421609856383,0.0,0.0,511.1167649936656,li2021,2.94763916015625,3.242518651389034,406.9041553658916,408.6909585459438,27.407266825734634,0.001,0.001,-0.001,0.9090585057678966
1319620322217052672,357.7419868365844,359.76073329787874,21.700706519828017,0.0,0.0,531.848914341986,li2021,4.00767333984375,4.627975283087429,415.63090218817496,417.0405834350918,29.441664675374568,0.007,0.001,-0.001,0.8659668850197788
1419012565594414592,344.83759520172714,346.14694839225814,31.652675347525864,0.0,0.0,500.5298734014604,li2021,7.24846826171875,9.128369634329728,450.2935163467242,455.1004247014786,64.70291970829106,0.204,0.246,-0.246,0.7940594599126337
1288726553737756928,443.24710643204503,445.7675378670072,43.25333183796523,0.111,0.034,527.9409693018041,"li2021,liao2024",5.23731689453125,5.777400847361278,505.3325583838939,507.53318055771575,49.64892776941134,0.522,0.31,-0.276,0.906517832655371
1366088157507230208,376.7671630824456,377.2209370793508,12.978290232502117,0.0,0.0,514.5951642901584,li2021,3.798287841796875,4.147363263184032,401.3028342433082,402.0801026721452,16.112192346090744,0.0,0.0,0.0,0.9158319637718053
4459976988872598272,401.21969947622773,402.9847132308159,24.636548704858342,0.0,0.0,544.7175553066545,li2021,3.622915283203125,4.1833430410515176,470.23060958700876,471.08073234243506,37.30185588777891,0.224,0.016,-0.016,0.8660335161738195
1327043297014218752,395.2454767071967,396.29430056459597,24.075698949774523,0.0,0.0,527.0522304757048,"li2021,liao2024",5.1965478515625,6.09803000184339,471.1247723977111,475.5734650160971,40.87754298032828,0.252,0.109,-0.109,0.8521682986130966
1406194871355128064,365.9423833510063,366.5147800408335,15.572906889815975,0.0,0.0,515.1169037683997,li2021,5.26013720703125,6.133491096765814,405.76840599336714,407.9473051345431,24.285184300615914,0.001,0.001,-0.001,0.8576090066886894
2148005748521592704,435.8694242402228,438.07450472079694,34.41678158939451,0.043,0.064,495.4088483733204,"li2021,liao2024",6.47123486328125,8.205818812277503,540.5908347194,551.6497825989616,67.12675217583255,0.761,0.807,-0.7430000000000001,0.7886153729837445
1321524641996311552,274.1814196333474,275.203965428632,23.61137987626621,0.0,0.0,534.2381179392236,li2021,6.6826826171875,8.663241252719086,394.3620488671548,400.4199362619331,50.84402805222922,0.037,0.018,-0.018,0.7713836452482541
1319850910420860544,259.83029300047895,259.96198221051696,16.827575921684016,0.0,0.0,530.7814482361558,li2021,3.84077587890625,4.11937340214107,283.7980507953914,285.54541978997264,20.545329110751748,0.0,0.0,0.0,0.9323689561402669
4454762486259697024,411.6606482373701,414.09019227041244,28.356818007683685,0.005,0.0,551.6959038762644,li2021,4.22176953125,4.972768203403422,478.85334801944583,482.44359138240435,38.852856587837294,0.293,0.021,-0.021,0.848977744098462
1172784530055677952,441.65794032035467,443.9204907210722,33.50587926407479,0.065,0.001,545.5355901319228,li2021,4.64367529296875,5.773386024984292,543.2637549541536,552.1409020286162,61.74876235297826,0.803,0.409,-0.408,0.8043244073535485
4427066402532783744,418.8365314342825,419.07981234172115,10.858083290043622,0.0,0.0,528.3248073084175,li2021,1.8647315673828124,2.009895572257638,443.5274890986439,444.13620207146624,13.097115371753008,0.0,0.0,0.0,0.9277753496855717
1381834504046491776,345.44976111647014,346.9823479264223,24.261737385950525,0.0,0.0,520.1974989623096,li2021,4.807490234375,5.580374333103534,412.93175756715453,416.36238340467975,35.03573197994614,0.015,0.005,-0.005,0.8614995961572539
4446284358256648960,347.130616946079,346.8177243740308,17.75966939162777,0.0,0.0,537.5365346877932,li2021,2.708967041015625,2.816724210598377,368.6974544756711,370.9192381042389,21.71276363495518,0.0,0.0,0.0,0.9617437982826652
4564974576889224192,390.26226343850055,391.007531969559,13.539918236055472,0.0,0.0,540.6568663512451,li2021,4.156767578125,4.761159503973034,421.6298371303347,422.84829456466804,17.231379619640208,0.001,0.0,0.0,0.8730578285932894
1205886736360431360,383.7482964485089,386.8991846071024,47.3804200274468,0.016,0.003,538.0760067398184,li2021,3.938954833984375,4.314558939033298,431.991391401614,436.1741611723152,56.7049528450851,0.12,0.041,-0.038,0.91294495906618
1565897801417595136,403.9115382249623,404.86024725387966,8.924430418674635,0.0,0.0,493.01753105380857,"li2021,liao2024",6.38969677734375,7.874185348898549,430.14778869794316,434.38382428972886,24.818264205954556,0.028,0.052,-0.052,0.8114740121322581
1200341899221905664,393.84792126005374,394.6918131377762,16.40010755412991,0.0,0.0,547.864486660155,li2021,4.7254892578125,5.287373186702735,426.0243683236948,427.2907422079803,22.098210674003663,0.002,0.0,0.0,0.8937309871935422
3729576671579097600,416.81293898705906,416.5268705432093,13.918689608524453,0.0,0.0,519.0185260573553,"li2021,liao2024",2.355489990234375,2.6260046039443803,444.9484081298436,446.6540172461601,18.583374183673076,0.007,0.0,0.0,0.896986237836872
1169298837678089344,341.39689667137543,343.1251121886725,34.690091432402404,0.0,0.0,545.9279267686445,li2021,4.1256943359375,4.910436087660539,448.2086922741336,454.62552047980233,52.455118286371714,0.18,0.037,-0.037,0.8401889897935907
589402489494411392,445.88422328352567,445.84124675580125,3.1995898744237654,0.0,0.0,504.7728030568417,"li2021,liao2024",1.02749462890625,1.0692483645332669,449.3572829814309,449.39858802067835,3.273432406398545,0.0,0.0,0.0,0.9609503862601253
3736372993468775424,457.6607912883766,457.81329984129826,4.166130563551846,0.0,0.0,517.6170570531768,"li2021,liao2024",2.32450390625,2.4308075109494403,462.5615396978898,462.74197170527003,4.642789528203858,0.0,0.0,0.0,0.9562681930919658
